,French,English
0,partie,part
1,chercher,search
2,police,police
3,aide,help
4,genre,kind
5,mois,month
6,frère,brother
7,car,because
8,aucun,no
9,laisse,leash
10,eux,them
11,ville,city
12,chaque,each
13,parlé,speak
14,bébé,baby
15,longtemps,long time
16,vont,will
17,pendant,while
18,revoir,meet again
19,aucune,any
20,place,square
21,parle,speak
22,compris,understood
23,savais,knew
24,étaient,were
25,attention,Warning
26,pourrais,could
27,affaire,case
28,donner,give
29,type,type
30,leurs,their
31,donné,given
32,corps,body
33,endroit,place
34,yeux,eyes
35,façon,way
36,dont,whose
37,trouve,find
38,perdu,lost
39,main,hand
40,pouvoir,power
41,sois,be
42,tiens,here
43,matin,morning
44,tellement,so much
45,enfant,child
46,point,point
47,venu,came
48,suite,after
49,pardon,sorry
50,venez,come
51,vers,towards
52,demandé,request
53,chambre,bedroom
54,belle,beautiful
55,droit,law
56,aujourd'hui,today
57,mari,husband
58,cause,cause
59,enfin,finally
60,espère,hope
61,eau,water
62,attendez,Wait
63,parti,left
64,nouvelle,new
65,boulot,job
66,arrêter,Stop
67,dirait,would say
68,terre,Earth
69,compte,account
70,donne,given
71,loin,far
72,fin,end
73,croire,believe
74,chérie,sweetheart
75,plutôt,rather
76,aura,will have
77,jouer,to play
78,bureau,office
